GLBALH_BRN_CODE,GLBALH_GLACC_CODE,GLBALH_CURR_CODE,SUM(GLBALH_AC_BAL)
3,3010102145,USD,0
3,3010102146,USD,0
3,3010102165,USD,"130,866.18"
3,3010102165,ZAR,-247.02
3,3010102166,USD,192.91
3,3010102167,USD,0
3,3010102193,USD,"106,817.12"
3,3010102197,USD,0
3,3010102198,USD,"11,461.09"
3,3010102201,USD,"1,189.5"
3,3010102228,USD,220
3,3010102228,ZIG,160
3,3010102229,USD,310
3,3010102229,ZIG,"82,277.72"
4,3000201021,ZWL,0
4,3000201029,ZIG,0
4,3000201029,ZWL,0
4,3000201071,ZIG,"3,040,338.83"
4,3000201071,ZWL,0
4,3000201075,ZIG,0
4,3000201087,ZIG,"380,486.41"
4,3000201127,ZIG,0
4,3000201127,ZWL,0
4,3000202034,USD,0
4,3000202071,USD,"132,663.67"
4,3000202075,USD,481.95
4,3000202087,USD,"31,674.79"
4,3000202093,USD,0
4,3000202105,USD,0
4,3000202111,USD,0
4,3000202164,USD,"11,624.64"
4,3010101001,ZIG,38.23
4,3010101001,ZWL,0
4,3010101003,ZIG,"32,795.49"
4,3010101007,ZIG,0
4,3010101041,ZIG,"9,965.4"
4,3010101041,ZWL,0
4,3010101057,ZIG,0
4,3010101057,ZWL,0
4,3010101065,ZIG,0
4,3010101065,ZWL,0
4,3010101098,ZIG,0
4,3010101098,ZWL,0
4,3010101164,USD,19
4,3010101164,ZIG,"14,962"
4,3010101165,ZIG,"2,237,407.71"
4,3010101197,ZIG,"13,251.05"
4,3010101239,USD,180
4,3010101239,ZIG,"7,486.31"
4,3010101239,ZWL,0
4,3010101243,ZIG,0
4,3010101243,ZWL,0
4,3010101246,ZIG,0
4,3010101246,ZWL,0
4,3010102003,USD,"9,701.52"
4,3010102005,ZIG,54.5
4,3010102007,USD,7.86
4,3010102032,USD,20
4,3010102041,USD,0
4,3010102056,USD,"283,915.5"
4,3010102057,USD,208.33
4,3010102109,USD,60.54
4,3010102110,USD,"29,791.65"
4,3010102117,USD,747
4,3010102132,USD,0
4,3010102137,USD,15
4,3010102145,USD,0
4,3010102146,USD,0
4,3010102165,USD,"137,635.45"
4,3010102166,USD,"1,288"
4,3010102167,USD,0
4,3010102193,USD,"144,231.08"
4,3010102194,USD,0
4,3010102197,USD,0
4,3010102198,USD,438.45
4,3010102201,USD,262.2
4,3010102228,USD,45
4,3010102228,ZIG,150
4,3010102229,USD,420
4,3010102229,ZIG,"13,484.65"
5,3000201029,ZIG,0
5,3000201029,ZWL,0
5,3000201071,ZIG,"1,355,667.51"
5,3000201071,ZWL,0
5,3000201087,ZIG,"165,402.04"
5,3000202034,USD,10.15
5,3000202071,USD,"47,055.54"
5,3000202075,USD,313.81
5,3000202087,USD,"11,843.34"
5,3000202093,USD,0
5,3000202105,USD,0
5,3000202111,USD,0
5,3000202164,USD,743.02
5,3010101001,ZIG,"-1,570.15"
5,3010101001,ZWL,0
5,3010101003,ZIG,"27,072.88"
5,3010101041,ZIG,0
5,3010101041,ZWL,0
5,3010101057,ZIG,0
5,3010101057,ZWL,0
5,3010101065,ZIG,0
5,3010101065,ZWL,0
5,3010101165,ZIG,"1,173,380.51"
5,3010101197,ZIG,"3,089.47"
5,3010101239,USD,480
5,3010102003,USD,"5,306.04"
5,3010102041,USD,450
5,3010102056,USD,"173,286.5"
5,3010102057,USD,80.34
5,3010102109,USD,39
5,3010102110,USD,"13,679.97"
5,3010102116,USD,0
5,3010102117,USD,612
5,3010102132,USD,960
5,3010102137,USD,796.66
5,3010102145,USD,0
5,3010102146,USD,0
5,3010102165,USD,"55,795.33"
5,3010102166,USD,75
5,3010102193,USD,"76,682.52"
5,3010102201,USD,0
5,3010102228,USD,7
5,3010102228,ZIG,0
5,3010102229,USD,120
5,3010102229,ZIG,0
6,3000201029,ZIG,0
6,3000201029,ZWL,0
6,3000201071,ZIG,"804,159.66"
6,3000201071,ZWL,0
6,3000201087,ZIG,"114,608.57"
6,3000201127,ZIG,0
6,3000201127,ZWL,0
6,3000202071,USD,"17,971.69"
6,3000202087,USD,"5,284.08"
6,3000202093,USD,0
6,3000202105,USD,0
6,3000202111,USD,0
6,3010101001,ZIG,0
6,3010101001,ZWL,0
6,3010101003,ZIG,"8,064.56"
6,3010101057,ZIG,0
6,3010101057,ZWL,0
6,3010101065,ZIG,0
6,3010101065,ZWL,0
6,3010101165,ZIG,"2,405,144"
6,3010102001,ZAR,0
6,3010102003,USD,0
6,3010102005,ZIG,0
6,3010102041,USD,0
6,3010102056,USD,-42
6,3010102057,USD,29.71
6,3010102109,USD,6
6,3010102110,USD,"1,318.17"
6,3010102117,USD,15
6,3010102137,USD,0
6,3010102165,USD,"66,836.27"
6,3010102166,USD,0
6,3010102193,USD,0
6,3010102197,USD,0
7,3000201029,ZIG,0
7,3000201029,ZWL,0
7,3000201030,ZIG,0
7,3000201030,ZWL,0
7,3000201071,ZIG,"1,095,591.7"
7,3000201071,ZWL,0
7,3000201087,ZIG,"127,866.31"
7,3000202034,USD,252.54
7,3000202071,USD,"57,125.23"
7,3000202075,USD,487.22
7,3000202087,USD,"15,844.28"
7,3000202093,USD,0
7,3000202105,USD,0
7,3000202111,USD,0
7,3000202164,USD,429.22
7,3010101001,ZIG,"-5,999.36"
7,3010101001,ZWL,0
7,3010101003,ZIG,"18,360.95"
7,3010101041,USD,0
7,3010101041,ZIG,0
7,3010101041,ZWL,0
7,3010101057,ZIG,0
7,3010101057,ZWL,0
7,3010101065,ZIG,0
7,3010101065,ZWL,0
7,3010101164,ZIG,0
7,3010101165,ZIG,"2,412,038.61"
7,3010101197,ZIG,"5,000.1"
7,3010101239,USD,210
7,3010101239,ZIG,0
7,3010101239,ZWL,0
7,3010102001,USD,-13.63
7,3010102003,USD,"5,473.54"
7,3010102005,ZIG,145.85
7,3010102007,USD,0
7,3010102032,USD,1.88
7,3010102041,USD,0
7,3010102056,USD,"192,309.72"
7,3010102057,USD,34.75
7,3010102109,USD,36
7,3010102110,USD,"13,364.04"
7,3010102117,USD,521
7,3010102132,USD,"8,400"
7,3010102137,USD,0
7,3010102145,USD,0
7,3010102146,USD,0
7,3010102165,USD,"156,273.93"
7,3010102166,USD,451
7,3010102167,USD,30
7,3010102193,USD,"274,874.34"
7,3010102198,USD,986
7,3010102201,USD,"2,889.85"
7,3010102228,USD,14
7,3010102229,USD,720
7,3010102229,ZIG,"6,468.37"
8,3000201029,ZIG,0
8,3000201029,ZWL,0
8,3000201071,ZIG,"1,721,230.79"
8,3000201071,ZWL,0
8,3000201075,ZIG,"2,791.76"
8,3000201075,ZWL,0
8,3000201087,ZIG,"198,104.26"
8,3000202034,USD,0
8,3000202071,USD,"33,943.78"
8,3000202075,USD,797.17
8,3000202087,USD,"10,747.06"
8,3000202093,USD,0
8,3000202105,USD,0
8,3000202111,USD,0
8,3000202164,USD,5.22
8,3010101001,ZIG,0
8,3010101001,ZWL,0
8,3010101003,ZIG,"31,408.6"
8,3010101041,ZIG,0
8,3010101041,ZWL,0
8,3010101057,ZIG,0
8,3010101057,ZWL,0
8,3010101065,ZIG,0
8,3010101065,ZWL,0
8,3010101164,USD,1.5
8,3010101164,ZIG,"4,249"
8,3010101165,ZIG,"2,231,366.74"
8,3010101197,ZIG,"3,759.7"
8,3010101239,USD,30
8,3010102003,USD,"1,153.04"
8,3010102005,ZIG,15
8,3010102007,USD,42
8,3010102007,ZIG,0
8,3010102041,USD,0
8,3010102056,USD,"91,363.2"
8,3010102057,USD,159.54
8,3010102109,USD,45
8,3010102110,USD,"14,509.69"
8,3010102117,USD,491
8,3010102132,USD,0
8,3010102137,USD,879
8,3010102145,USD,0
8,3010102146,USD,0
8,3010102165,USD,"102,756.8"
8,3010102165,ZAR,1.42
8,3010102166,USD,255
8,3010102167,USD,0
8,3010102193,USD,"127,134.22"
8,3010102197,USD,0
8,3010102198,USD,174
8,3010102201,USD,"1,311.09"
8,3010102228,USD,63
8,3010102228,ZIG,0
8,3010102229,USD,510
9,3000201029,ZIG,0
9,3000201029,ZWL,0
9,3000201034,ZIG,"2,036.68"
9,3000201071,ZIG,"2,408,103.23"
9,3000201071,ZWL,0
9,3000201087,ZIG,"271,133.92"
9,3000202034,USD,15.8
9,3000202071,USD,"95,655.53"
9,3000202075,USD,526.87
9,3000202087,USD,"28,160.46"
9,3000202093,USD,0
9,3000202105,USD,0
9,3000202111,USD,0
9,3000202164,USD,"1,977.88"
9,3010101001,ZIG,"-8,994.72"
9,3010101001,ZWL,0
9,3010101003,ZIG,"64,131.13"
9,3010101031,ZIG,"1,679.54"
9,3010101041,ZIG,0
9,3010101041,ZWL,0
9,3010101057,ZIG,0
9,3010101057,ZWL,0
9,3010101065,ZIG,0
9,3010101065,ZWL,0
9,3010101164,USD,-111
9,3010101164,ZIG,"8,353"
9,3010101165,ZIG,"4,146,753.42"
9,3010101197,ZIG,"1,426.9"
9,3010102001,BWP,0
9,3010102001,EUR,0
9,3010102001,GBP,0
9,3010102001,USD,-30.3
9,3010102001,ZAR,0
9,3010102003,USD,"6,376.15"
9,3010102005,ZIG,120
9,3010102007,ZIG,0
9,3010102041,USD,"5,671.45"
9,3010102048,USD,0
9,3010102056,USD,"356,769.15"
9,3010102057,USD,187.93
9,3010102109,USD,125.46
9,3010102110,USD,"41,729.43"
9,3010102117,USD,"1,381"
9,3010102132,USD,"1,680"
9,3010102137,USD,0
9,3010102145,USD,0
9,3010102146,USD,0
9,3010102165,USD,"226,813.56"
9,3010102166,USD,30
9,3010102167,USD,0
9,3010102193,USD,"325,474.69"
9,3010102194,USD,0
9,3010102197,USD,0
9,3010102198,USD,466.55
9,3010102201,USD,182.53
9,3010102228,USD,0
9,3010102228,ZIG,976
9,3010102229,USD,0
10,3000201029,ZIG,0
10,3000201029,ZWL,0
10,3000201071,ZIG,"1,039,730.19"
10,3000201071,ZWL,0
10,3000201087,ZIG,"120,095.9"
10,3000202071,USD,692.79
10,3000202111,USD,0
10,3010101001,ZIG,0
10,3010101001,ZWL,0
10,3010101003,ZIG,"16,977.22"
10,3010101057,ZIG,"414,558.55"
10,3010101057,ZWL,0
10,3010101065,ZIG,0
10,3010101065,ZWL,0
10,3010101164,ZIG,0
10,3010101165,ZIG,"9,552,624.87"
10,3010102001,USD,0
10,3010102003,USD,0.64
10,3010102005,ZIG,88.75
10,3010102032,USD,225.15
10,3010102056,USD,-988.2
10,3010102057,USD,"33,723.92"
10,3010102057,ZIG,0
10,3010102109,USD,6
10,3010102110,USD,"1,604.37"
10,3010102117,USD,26
10,3010102137,USD,0
10,3010102165,USD,"1,275,416.58"
10,3010102166,USD,"3,793.99"
11,3000201029,ZIG,0
11,3000201029,ZWL,0
11,3000201071,ZIG,"2,751,757.09"
11,3000201071,ZWL,0
11,3000201087,ZIG,"334,831.87"
11,3000202034,USD,0
11,3000202071,USD,"94,732.33"
11,3000202075,USD,"1,027.57"
11,3000202087,USD,"24,432.91"
11,3000202093,USD,0
11,3000202105,USD,0
11,3000202111,USD,0
11,3000202164,USD,625.72
11,3010101001,ZIG,0
11,3010101001,ZWL,0
11,3010101003,ZIG,"109,093.59"
11,3010101007,ZIG,0
11,3010101007,ZWL,0
11,3010101041,ZIG,0
11,3010101041,ZWL,0
11,3010101057,ZIG,0
11,3010101057,ZWL,0
11,3010101065,ZIG,0
11,3010101065,ZWL,0
11,3010101098,ZIG,0
11,3010101098,ZWL,0
11,3010101164,USD,1.5
11,3010101164,ZIG,"11,303"
11,3010101165,ZIG,"2,174,798.26"
11,3010101197,ZIG,"18,272.8"
11,3010101239,USD,60
11,3010101239,ZIG,"1,542"
11,3010101243,ZIG,0
11,3010101243,ZWL,0
11,3010101246,ZIG,0
11,3010101246,ZWL,0
11,3010102003,USD,"6,932.11"
11,3010102005,ZIG,11.5
11,3010102007,USD,105
11,3010102007,ZIG,288
11,3010102032,USD,41.33
11,3010102041,USD,0
11,3010102056,USD,"358,501.63"
11,3010102057,USD,140.42
11,3010102109,USD,119.46
11,3010102110,USD,"24,785"
11,3010102117,USD,"1,561"
11,3010102137,USD,207.2
11,3010102145,USD,0
11,3010102146,USD,0
11,3010102165,USD,"138,573.98"
11,3010102166,USD,510
11,3010102193,USD,"278,747"
11,3010102198,USD,28
11,3010102201,USD,568.1
11,3010102228,USD,88.5
11,3010102228,ZIG,53
11,3010102229,USD,390
11,3010102229,ZIG,"1,542"
12,3000201029,ZIG,0
12,3000201029,ZWL,0
12,3000201071,ZIG,"1,945,265.32"
12,3000201071,ZWL,0
12,3000201087,ZIG,"248,487.66"
12,3000202034,USD,0
12,3000202071,USD,"69,958.27"
12,3000202075,USD,494.21
12,3000202087,USD,"17,107.37"
12,3000202093,USD,0
12,3000202105,USD,0
12,3000202111,USD,0
12,3000202164,USD,863.3
12,3010101001,ZIG,0
12,3010101001,ZWL,0
12,3010101003,ZIG,"88,369.15"
12,3010101041,ZIG,0
12,3010101041,ZWL,0
12,3010101056,ZIG,0
12,3010101056,ZWL,0
12,3010101057,ZIG,0
12,3010101057,ZWL,0
12,3010101164,ZIG,"1,449.09"
12,3010101165,ZIG,"621,457"
12,3010101197,ZIG,"13,802.1"
12,3010101243,ZIG,0
12,3010101243,ZWL,0
12,3010102003,USD,"4,630.22"
12,3010102007,USD,28
12,3010102007,ZIG,196
12,3010102041,USD,0
12,3010102056,USD,"79,042.4"
12,3010102057,USD,127.41
12,3010102070,USD,0
12,3010102109,USD,48
12,3010102110,USD,"11,460.16"
12,3010102117,USD,366
12,3010102132,USD,90
12,3010102137,USD,166
12,3010102145,USD,0
12,3010102146,USD,0
12,3010102165,USD,"36,083.67"
12,3010102166,USD,30
12,3010102167,USD,0
12,3010102193,USD,"36,684.38"
12,3010102198,USD,697.95
12,3010102201,USD,94.8
12,3010102228,USD,42
13,3000201029,ZIG,0
13,3000201029,ZWL,0
13,3000201071,ZIG,"2,348,498.07"
13,3000201071,ZWL,0
13,3000201087,ZIG,"303,747.04"
13,3000202034,USD,0
13,3000202071,USD,"62,187.87"
13,3000202075,USD,147.74
13,3000202087,USD,"16,976.06"
13,3000202093,USD,0
13,3000202105,USD,0
13,3000202111,USD,0
13,3000202164,USD,"5,005.21"
13,3010101001,ZIG,"-4,476.29"
13,3010101001,ZWL,0
13,3010101003,ZIG,"57,309.78"
13,3010101007,ZIG,0
13,3010101007,ZWL,0
13,3010101041,ZIG,0.75
13,3010101041,ZWL,0
13,3010101057,ZIG,0
13,3010101057,ZWL,0
13,3010101065,ZIG,0
13,3010101065,ZWL,0
13,3010101164,USD,2.5
13,3010101164,ZIG,"6,357"
13,3010101165,ZIG,"926,320.3"
13,3010101197,ZIG,"2,673.5"
13,3010101239,USD,"4,020"
13,3010101243,ZIG,0
13,3010101243,ZWL,0
13,3010102001,USD,-268.4
13,3010102003,USD,"4,156.74"
13,3010102005,ZIG,11.5
13,3010102041,USD,10.02
13,3010102041,ZAR,1.04
13,3010102056,USD,"171,607.45"
13,3010102057,USD,163.93
13,3010102109,USD,57
13,3010102110,USD,"18,287.85"
13,3010102117,USD,651
13,3010102132,USD,0
13,3010102137,USD,128
13,3010102137,ZAR,0
13,3010102145,USD,0
13,3010102146,USD,0
13,3010102165,USD,"66,229.42"
13,3010102166,USD,165
13,3010102193,USD,"51,454.82"
13,3010102193,ZAR,"3,270"
13,3010102198,USD,626.75
13,3010102201,USD,577.07
13,3010102228,USD,4
13,3010102228,ZIG,"2,564"
13,3010102229,USD,30
14,3000201029,ZIG,0
14,3000201029,ZWL,0
14,3000201071,ZIG,"2,318,437.18"
14,3000201071,ZWL,0
14,3000201075,ZIG,0
14,3000201075,ZWL,0
14,3000201087,ZIG,"362,148.21"
14,3000201127,ZIG,0
14,3000201127,ZWL,0
14,3000202071,USD,"126,543.38"
14,3000202075,USD,974.88
14,3000202087,USD,"25,890.26"
14,3000202093,USD,0
14,3000202105,USD,0
14,3000202111,USD,0
14,3010101001,ZIG,0
14,3010101001,ZWL,0
14,3010101003,ZIG,"77,271.18"
14,3010101041,ZIG,0
14,3010101041,ZWL,0
14,3010101057,ZIG,0
14,3010101057,ZWL,0
14,3010101165,ZIG,"2,867,359.17"
14,3010101197,ZIG,"3,558"
14,3010101243,ZIG,0
14,3010101243,ZWL,0
14,3010102001,ZAR,0
14,3010102003,USD,"9,071.52"
14,3010102005,ZIG,4
14,3010102041,USD,0
14,3010102041,ZAR,0
14,3010102056,USD,-28.5
14,3010102057,USD,0
14,3010102109,USD,66
14,3010102110,USD,"16,677.6"
14,3010102117,USD,453
14,3010102132,USD,"55,037"
14,3010102134,USD,0
14,3010102137,USD,"3,723"
14,3010102137,ZAR,0
14,3010102145,USD,0
14,3010102145,ZAR,0
14,3010102146,USD,0
14,3010102165,USD,"137,813.27"
14,3010102166,USD,0
14,3010102167,USD,0
14,3010102193,USD,"356,178.02"
14,3010102193,ZAR,"78,750"
14,3010102201,USD,0
14,3010102228,ZIG,0
14,3010102228,ZWL,0
15,3000201021,ZIG,0
15,3000201021,ZWL,0
15,3000201029,ZIG,0
15,3000201029,ZWL,0
15,3000201071,ZIG,"5,397,800.07"
15,3000201071,ZWL,0
15,3000201075,ZIG,0
15,3000201075,ZWL,0
15,3000201087,ZIG,"513,773.97"
15,3000202034,USD,0
15,3000202071,USD,"73,490.19"
15,3000202075,USD,922.03
15,3000202087,USD,"18,362.19"
15,3000202093,USD,0
15,3000202105,USD,0
15,3000202111,USD,0
15,3000202164,USD,"2,506.52"
15,3010101001,ZIG,0
15,3010101001,ZWL,0
15,3010101003,ZIG,"202,737.91"
15,3010101041,ZIG,0
15,3010101041,ZWL,0
15,3010101057,ZIG,0
15,3010101057,ZWL,0
15,3010101164,USD,14
15,3010101164,ZIG,"4,917"
15,3010101165,ZIG,"922,561.14"
15,3010101197,ZIG,"9,636"
15,3010102003,USD,"6,455.37"
15,3010102005,ZIG,13.5
15,3010102005,ZWL,0
15,3010102007,USD,5
15,3010102032,USD,16.16
15,3010102041,USD,0
15,3010102056,USD,"92,879.45"
15,3010102057,USD,159.62
15,3010102070,USD,0
15,3010102109,USD,72
15,3010102110,USD,"17,974.3"
15,3010102117,USD,621
15,3010102132,USD,"2,340"
15,3010102137,USD,7
